candidate_id,arm,fold,core_pass,full_pass,failed_gate_count,failed_gates
O_P2_Q2_R1,P2,2023H1,False,False,2,candidate_default_net_pf|candidate_severe_net_pf
O_P2_Q2_R1,P2,2023H2,False,False,8,B02_delta_nonnegative|F05_delta_nonnegative|long_delta_nonnegative|short_delta_nonnegative|quarter_deltas_nonnegative|positive_effect_months_at_least_4|negative_effect_months_at_most_2|ex_best_two_dates_positive
O_P2_Q2_R1,P2,2024H1,False,False,7,top_decile_winner_retention|F05_delta_nonnegative|long_delta_nonnegative|quarter_deltas_nonnegative|positive_effect_months_at_least_4|negative_effect_months_at_most_2|ex_best_two_dates_positive
O_P2_Q2_R1,P2,2024H2,False,False,8,B02_delta_nonnegative|F05_delta_nonnegative|long_delta_nonnegative|short_delta_nonnegative|quarter_deltas_nonnegative|positive_effect_months_at_least_4|negative_effect_months_at_most_2|ex_best_two_dates_positive
O_P2_Q2_R2,P2,2023H1,False,False,2,candidate_default_net_pf|candidate_severe_net_pf
O_P2_Q2_R2,P2,2023H2,False,False,9,candidate_severe_net_pf|B02_delta_nonnegative|F05_delta_nonnegative|long_delta_nonnegative|short_delta_nonnegative|quarter_deltas_nonnegative|positive_effect_months_at_least_4|negative_effect_months_at_most_2|ex_best_two_dates_positive
O_P2_Q2_R2,P2,2024H1,False,False,7,top_decile_winner_retention|F05_delta_nonnegative|long_delta_nonnegative|quarter_deltas_nonnegative|positive_effect_months_at_least_4|negative_effect_months_at_most_2|ex_best_two_dates_positive
O_P2_Q2_R2,P2,2024H2,False,False,7,top_decile_winner_retention|F05_delta_nonnegative|short_delta_nonnegative|quarter_deltas_nonnegative|positive_effect_months_at_least_4|negative_effect_months_at_most_2|ex_best_two_dates_positive
O_P2_Q3_R1,P2,2023H1,False,False,2,candidate_default_net_pf|candidate_severe_net_pf
O_P2_Q3_R1,P2,2023H2,False,False,9,candidate_severe_net_pf|B02_delta_nonnegative|F05_delta_nonnegative|long_delta_nonnegative|short_delta_nonnegative|quarter_deltas_nonnegative|positive_effect_months_at_least_4|negative_effect_months_at_most_2|ex_best_two_dates_positive
O_P2_Q3_R1,P2,2024H1,False,False,8,top_decile_winner_retention|B02_delta_nonnegative|F05_delta_nonnegative|long_delta_nonnegative|quarter_deltas_nonnegative|positive_effect_months_at_least_4|negative_effect_months_at_most_2|ex_best_two_dates_positive
O_P2_Q3_R1,P2,2024H2,False,False,6,F05_delta_nonnegative|long_delta_nonnegative|quarter_deltas_nonnegative|positive_effect_months_at_least_4|negative_effect_months_at_most_2|ex_best_two_dates_positive
